simulation_number,probability,payout_multiplier
0,4.4e-05,0.0
1,0.000142,0.45
2,0.000104,0.75
3,0.00018,0.9
4,0.00034,1.2
5,0.000176,1.35
6,0.00018,1.5
7,0.000492,1.65
8,0.00012,1.8
9,0.00056,1.95
10,0.000492,2.1
11,0.000322,2.25
12,0.000862,2.4
13,0.000366,2.55
14,0.000828,2.7
15,0.001008,2.85
16,0.00051,3.0
17,0.001342,3.15
18,0.000794,3.3
19,0.00111,3.45
20,0.00143,3.6
21,0.000988,3.75
22,0.001714,3.9
23,0.001252,4.05
24,0.00161,4.2
25,0.002052,4.35
26,0.001334,4.5
27,0.002426,4.65
28,0.001808,4.8
29,0.002082,4.95
30,0.002698,5.1
31,0.002038,5.25
32,0.002914,5.4
33,0.002402,5.55
34,0.00269,5.7
35,0.003364,5.85
36,0.002508,6.0
37,0.00344,6.15
38,0.00312,6.3
39,0.003272,6.45
40,0.003878,6.6
41,0.003076,6.75
42,0.004144,6.9
43,0.003674,7.05
44,0.003718,7.2
45,0.00467,7.35
46,0.003596,7.5
47,0.004522,7.65
48,0.004408,7.8
49,0.004188,7.95
50,0.005188,8.1
51,0.004078,8.25
52,0.005084,8.4
53,0.004848,8.55
54,0.004892,8.7
55,0.005656,8.85
56,0.004468,9.0
57,0.005482,9.15
58,0.005296,9.3
59,0.005122,9.45
60,0.00616,9.6
61,0.00511,9.75
62,0.005842,9.9
63,0.005844,10.05
64,0.00539,10.2
65,0.006464,10.35
66,0.00532,10.5
67,0.006172,10.65
68,0.006042,10.8
69,0.005498,10.95
70,0.006678,11.1
71,0.005652,11.25
72,0.00655,11.4
73,0.006154,11.55
74,0.005614,11.7
75,0.006608,11.85
76,0.005612,12.0
77,0.006348,12.15
78,0.006388,12.3
79,0.00587,12.45
80,0.0067,12.6
81,0.006072,12.75
82,0.006594,12.9
83,0.006352,13.05
84,0.00607,13.2
85,0.00695,13.35
86,0.006024,13.5
87,0.006544,13.65
88,0.006404,13.8
89,0.006204,13.95
90,0.006512,14.1
91,0.005814,14.25
92,0.006362,14.4
93,0.006392,14.55
94,0.005786,14.7
95,0.006606,14.85
96,0.00575,15.0
97,0.006182,15.15
98,0.006302,15.3
99,0.005706,15.45
100,0.006464,15.6
101,0.005918,15.75
102,0.006164,15.9
103,0.00649,16.05
104,0.005688,16.2
105,0.00634,16.35
106,0.00579,16.5
107,0.00617,16.65
108,0.005876,16.8
109,0.005588,16.95
110,0.00617,17.1
111,0.005438,17.25
112,0.005954,17.4
113,0.005902,17.55
114,0.005546,17.7
115,0.006126,17.85
116,0.005446,18.0
117,0.005692,18.15
118,0.00579,18.3
119,0.005258,18.45
120,0.005664,18.6
121,0.00522,18.75
122,0.005282,18.9
123,0.00558,19.05
124,0.005192,19.2
125,0.00573,19.35
126,0.005066,19.5
127,0.005398,19.65
128,0.005298,19.8
129,0.004786,19.95
130,0.005282,20.1
131,0.004724,20.25
132,0.005078,20.4
133,0.004962,20.55
134,0.004948,20.7
135,0.005196,20.85
136,0.004646,21.0
137,0.004924,21.15
138,0.004782,21.3
139,0.004458,21.45
140,0.004948,21.6
141,0.004538,21.75
142,0.004676,21.9
143,0.004682,22.05
144,0.00431,22.2
145,0.004776,22.35
146,0.004442,22.5
147,0.004408,22.65
148,0.004484,22.8
149,0.004132,22.95
150,0.004472,23.1
151,0.004114,23.25
152,0.00445,23.4
153,0.00416,23.55
154,0.003904,23.7
155,0.00411,23.85
156,0.003876,24.0
157,0.004178,24.15
158,0.003986,24.3
159,0.003752,24.45
160,0.003992,24.6
161,0.00371,24.75
162,0.003692,24.9
163,0.003826,25.05
164,0.00378,25.2
165,0.003804,25.35
166,0.003648,25.5
167,0.003528,25.65
168,0.003532,25.8
169,0.00329,25.95
170,0.003702,26.1
171,0.003438,26.25
172,0.003378,26.4
173,0.003358,26.55
174,0.003174,26.7
175,0.00329,26.85
176,0.00316,27.0
177,0.003214,27.15
178,0.00339,27.3
179,0.003162,27.45
180,0.00315,27.6
181,0.003078,27.75
182,0.003164,27.9
183,0.003042,28.05
184,0.0029,28.2
185,0.003096,28.35
186,0.002702,28.5
187,0.002828,28.65
188,0.003006,28.8
189,0.002588,28.95
190,0.002756,29.1
191,0.002648,29.25
192,0.002534,29.4
193,0.002752,29.55
194,0.00248,29.7
195,0.002482,29.85
196,0.002402,30.0
197,0.002526,30.15
198,0.002438,30.3
199,0.002328,30.45
200,0.00253,30.6
201,0.002296,30.75
